"pagina","texto","error"
89,"90 RONDAYES MALLORQUINES
d'aquella metexa capseta que dupa amb ses mans.
Ell no fepa sino mirar dins aquella capseta, p ets
altres no fepen més que mirarlo-se a ell. No ten-
gueren altre lloch per anar a seure sino just devo-
ra aquella aufabaguera p aquell claveller ahont
estaven amagades la princesa Ç sa japa, jses de-
rreres que varen tenir de repararlesi
Y aquell jovenet, qu'amb una espatla fregava
s'aufabaguera, no parava de plorar, amb sa vista
clavada dins sa capseta, p entre llament p llament
9 singlot y singlot, no s'aturava de dir:
—iO pinteta mial'
jo veteta mial
jo cabevet mí,
de la senyora mial
iQue deu""esser d'ella2
ique deu esser morta2
que deu esser viva2
iO trist de míl
jo las de míl
que jo per ella
voldria morir.
Acabú aquestes paraules, però no acabé's plors
p descapdell, aumentaren es llaments p es singlots.
A la fi, treu aquella pinteta d'or, per besarla, però,
quant la se dupa a sa boca, Surt una maneta blanca
d'aquella aufabaguera que tenia just devora, sa
maneta de la princesa, VY li pren sa pinteta, Y se
torna enfonçar.
Ell ç es seus companys quedaren com uns en-
sensats.
",NA
90,"LA PRINCESA BELLA 91 r
Des cap d'una estona, treu aquella veteta, tam- i
bé per besarla, P quant la se dupa a sa boca, Zas/ l
surt de bell nou aquella maneta blanca, de s'aufa-
baguera, P li pren sa veteta, p se torna enfonpar. i
Llavò sí que hi quedaren abitlats ell Ç es seus
companyons. V
Des cap d'una estona, treu es cabepet, també
per besarlo: tot just quant el se duVa a sa boca,
Zas/ ja torna Sortir sa maneta blanca de s'autaba-
guera, agafa es cabep, p li pega estirada. Però es
jovenet va tenir fort, p estirà més rostit, p se'n va
dur sa maneta Y es bras p tot es còs de la princesa,
que sortí de dins s'aufabaguera, més galanxona,
més gentil, més xalesta que map, dient a n'aquell
jove:
—Tu ets que'm prengueres sa pinteta, sa ve- En
teta p es cabepet.
—3Y tu ets que m'has desencantat a mi p tots
es meus companpsi (diu ell). Y, Si hu vols sebre,
jo som rep, P aquests sones nobles de la meua cort.
Una mala fada mos havia enfadats, p sols mos po-
ria desenfadar una donzella fia de rep, com tu. Ara
mana-mos fepnes, que tots estam a ton manar.
Tant ell, com ella, com sa japeta, com aquella
partida de nobles, no hi cabien de goig p alegria,
no sabien que los passava. :
— 4 Vols que mos casem2 (diu ell).
—Si no'm cas amb tu, no'm casaré amb ningú,
(diu ella). Aquí dalt e-hi ha mon pare p ma mare:
anem a demanar-los es consentiment.
",NA
91,"92 RONDAYES MALLORQUINES
Tots prengueren s'escaleta, V per amunt p per
. amunt, fins que foren en es cap de dalt de tot.

Com el rep p la reyna, ses dames Y es nobles,
qu'esperaven a sa costa de So'n Comelles, veren
la princesa p sa japa amb aquell altre rep p Sa
partida de nobles que los anaven derrera, queda-
ren amb sos cabeps drets.

La princesa p el rep desenfadat e-hu contaren
tot, demanaren per casar-se, los donaren es sí, se
casaren, p se feren unes noces p unes festes map
vistes. Tengueren amb ells sa javeta fins que se
morí, varem viure sempre com Jusep p Maria
anps p més anps, estimats des seus vassalls p res-
pectats de tots els altres reps, p, Si no son morts,
son vius, P, Si no son vius, son morts, y al cel
mos vegem tots plegats. Amen.

Torre Nova, Setembre de 1896,

y
",NA
92,"IIIIIIIIIIIIIIIIIÓ
ES FIY DES PESCADOR 7
—restl) PO OO- Que
Xò era un pescador d'Andratx, que no
A tenia altre Deu més qu'es pescar, p de
dèu dies nou, tornava axí com se'n era
anat, perque's pex, tot d'una que'l veya que ti-
rava púu a sa pesquera, e-hi acudia a menjarle-hi,
fins p tot li saupava s'esca, P com prou li havia
tetes ses ontes p ses ganes, s'espitxava, p cbona
nit si't colguesto
A cà-seua no e-hi havia recordansa de qu'ha-
guessen acabada map sa talent primer que's pa.
Si no fos estat que no més tenien un atlot, en Jua-
(1) La'm contaren la Escma. Sra, Marquesa de Montoliu,
nadiva de Mallorca, n'Antonieta Socies y Morell, en Toni Ga-
rvit, de Sent Llorens, el sen Toni Nebot, Lex, y en Xerafí Bua,
de So'n Servera,
",NA
93,"94 RONDAYES MALLORQUINES 3
net, P que Sa dona era de s'up des vent per tot, Q
aguantava la mestra a forsa de palanquetjar Q de
tenir poca vessa, se serien morts de fam.

Sa dona ratxava ses espases com veya qu'ella
tota sola havia de dur la casa, p que s'homo no
més li apdava a sa taula, a llevar concert des vent,
perque tenia una barra de foch, p s'hauria acabat
un llinatje. Ella bé li depa que per amor de Deu ti-
rés canpetes, ams p ginpes a n'el dimoni, p fés
qualque brot de fepna, però ell, més cabessut que
un forch d'aps, com més anava més vela.

Sa dona que tenia prous maldecaps amb so dur
busques a n'es niu p s'atlot en so jugar, succeiía
que, en no esser una cusseta que tenien, més ma-
gra qu'un garrot, ningú map li sortia a camí, com
S'entregava de pescar.

Un dia de mar grossa, que Ses ones, com se
rebatien a ses penyes, a voltes alsaven una torre
d'apgo p sabonera de coranta p de cinquanta pams,
y amb aquells cops tota sa ribera tremolava, p mo-
vien una remor feresta, esglapadora, qu'entrava
dins es cervell, idò aquell dia p tot, es pescador
d'Andratx volgué tirar Sa ginya. Se plantí a una
pesquera ahont ses ones no més arribaven de re-
bot, p halal bones grapades de púu, p Canpeta al
apre, p amb s'am ben escat per dins aquells sabo-
nerals.

Estú qui està, esperant que li picassen, passa-
ven hores p hores sense veure cap llambre ni sen-
",NA
94,"ES FIY DES PESCADOR 95 i
tir fressa de res, fins que cop en sech li peguen ti-
rada. Encara que tengués fort, sa canya li salta de
ses mans, li botex més de vint passes mar endins,
p guapta tot just un pexot com un bou, amb s'am
enganxat a s'esquena, amb tunes verducades Ç uns
brúfols que fepen més feredat que ses ones mete-
Xes.
—e Qui es estat aquest desentreit que s'atansa l
a tirarme un am a mi, que som el rep de tota aques-
ta maro—diu s'animalot, mirant ben arreu per
aquelles penyes. A
Ja hu crech que m'afina s'andritxol amb sos ca-
beps que s'alsaven des cap, blanch com la paret,
més retgirat qu'un poll devant sa milana.
—3Jo no som jol (depa's mesquí): jno hu he fet
apostal jque'm tiren d'una passa si le-hi he fetl
Jo sé ben cert que no e-hi era per tul jJo no sa-
bia que fosses per aquíl... iNo- dich cap menti-
dal... iTan cert com s'ha dita missa avupl
—3A, nol (diu s'animalot): la m'has feta2... La
m'has de pagar: ara metex te menj, Ç axí un'altra i
vegada estarús més alerta a tirar ams a la bebet-
lana.
—jiNo'm menjes, per amor de Deul (depa es
betzol) jjo't promet que no hi tornaré pusl... it'ho
jurl jt'ho jurl...
Y plorava com un nin petit, amb unes llàgri-
mes com es puny, p pregàries d'un vent p de s'al-
tre.
",NA
95,"96 RONDAYES MALLORQUINES

—No res, (diu es pexot a la fi): no te menja-
ré, si'm promets dur-me aquí metex, d'aquí a un
any p un dia, lo primer que't sortirà a camí quant
arribes a cà-teua.

—ISí que t'ho prometl —diu tot rebent s'andrit-
Xol, considerant que map li sortia ningu més que
sa eusseta. (Sí que t'ho durél,.. no tengues ànsia,
t'ho durél... jcom som homol... jt'ho jurl jJesús,
crevetal

Y, encrevant es dos dits grossos, besú tres o
quatre vegades.

—Mira, (diu es pex) no't cregues poder-hi
bovetjar amb mi: si no m'ho dus, dins tres dies se-
rés mort.

—No tengues únsia: paraula que jo don, la fas
tenir vera: primer e-hi va's coll.

—Ara hu veurem, (diu es pexot), p ja s'esquit-
Xa per endins, més falaguer qu'un delfí.

Es pescador amb una grapada tira a la mar
tots quants d'ormeps dupa, V, Cap a ses cases
manca gent, ben atacatl Y desiara se girava derre-
ra, de por que's pexot no se fos refet, P no ha-
gués saltat a terra, p l'encalsés, perque se figura-
va haver-li vistes quatre cames, p unes ales p tot
per volar.

Y no s'aturava de dir:

—jDe bona me som escapat: jCom es vetla
vera veu, que no sé com som viul... (No, Ç jo ja
me vepa dins aquella butza tan inflada que me
",NA
96,"ES FIY DES PESCADOR 97
trepal... itres o quatre homos sencers hep deuen
quebrel... jO quin animalotl... Sobre tot, imar
torn jo, si jo torn a la mar en tots es dies de sa
meua vidal... jUna p olil... jme valdrà per ve-
gadal
Fent aquestes solfes s'acostava, s'acostava a
cà-seua. E-hi devia haver mitja hora de sol: jus- /
tament en Juanet jugava per defora, p s'atlot tot
d'una que'l veu, ja's partit corrents cap a ell, cri-
dant:
—jMon parel... jmon parel... jo que veniu de
presti :.Que tant metex en dups cap
Es pobre pescador quedà mort, li vengueren
tombs de cap, s'hagué d'asseure.
Li demanaren que tenia. No hu volgué dir. Lo
que digué, que no'l veurien pescar pus, p que ve- È
nia ben resolt a posarse a sa fepna lo'ndemú me-
tex, p nola dexaria, mentres s'edat le-hi com-
portés.
Y ho va fer tenir ver: desd'aquell dia fonch un
dels homos feners que hi havia. Y li passava una 3
cosa ben rara: es doblers li entraven, Y no sabia
per hon, p en tenia més que no'n volia, p, com
més s'acostava es termini que li havia posat es
pex, més n'hi venien. i
Però ell, com més doblers tenia, més trist
funest se posava, P arribú que no tastava res res,
—é Però que tens2 (depa sa dona). Ara que te-
nim tanta baldó, te poses tristP /No haviem estats
tan bé mapl
",NA
97,"98 RONDAYES MALLORQUINES

Ell no responia, sino que se'n anava a un lloch
que ningú'l ves, Ç rompia en plors, Y es seus ups
eren dues fonts.

Aviat se cumplí s'anp y es dia, Ç no li bastà
cor de dir lo que fepa al cas, p se va haver d'ajeure
de malalt: ja no s'aguantava.

Bé li demanaven que tenia, no li pogueren
treure paraula, fins que's dia que fepa tres, veent
qu'anava a morirse de tot, badú boca, p digué:

— 4 Voleu sebre que tench2 Idò vautaquí: Aquell
dia que vatx venir de pescar, P vatx dir que
no'm veurien pescar pus, era que me sortí un pe-
Xot que'm volia menjar, p me digué que'm dexa-
ria fer, si li prometia de durli dins un anp p un dia
lo primer que me sortís a camí, p que, si no le-hi
duya, dins tres dies jo seria mort. Jo le hi vatx
promete, sabent que map me sortia a camí ningú,
en no esser sa cusseta, p justament aquell dia m'hi
sortí en Juanet. Despupsahir s'altre, se cumplí s'anp
p es dia, p no vatx fer lo qu'havia promès: per
axò'm mupr.

—ldò aviat estareu bo, (diu en Juanet). Ara
metex me'n hi vatx: digau-me a ne quina pesque-
ra vos succeí axò, p veureu que d'aviat e-hi seré.

—No, Juanet, (depa son pare), ja val més
que'm mupre jo, que no he feta petjada dreta may.
jo vatx fer es pecat, jo he de fer sa penitència.

—AXÒò Sí que no hu permetré, (respon s'atlot):
vos digau-me quina pesquera es, i
",NA
98,"Pres SPSS ES pe RI Is EE ME SSCIÓ 1 mes A a a P ga, re TO a EE
ES FIY DES PESCADOR 99
A forsa d'impugnes, s'atlot le-hi arribà a treu-
re, p dexant la casa alta de plors p descapdell, ja
es partit cap a n'aquella pesquera.
E-hi arriba, Y troba's pexol que l'esperava x
fepa tres dies.
—Ja'm pensava que no vendries, (digué com
el va veure). No res, axanque't demunt mi, afe-
rre't fort, p no hajes por de res.
En Juanet s'hi axanca p s'alerra, p s'animalot
pega coetjada V altra, Y per endins s'ha dit, com
un llamp. )
Aviat varen haver perduda Mallorca de vista,
p ells per endins V per endins.
Des cap d'un parep d'hores, destriaren uns
penyals dins sa calitja de s'entrellum, p es pexot :
cap dret a ellsl Amb una eczalació e-hi foren bax:
era una muntanpeta que fepa aquell capserrat, Q
e-hi havia una teringa de coves, qualcuna grossa
ferm, ahont la mar entrava, p ses ones hep movien i
un renou esglapador.
Es pex s'afica dins una d'aquelles coves, Q
hala per endins, P per endinsi
Al punt no hi véren, dues passes lluny, ni dos
pams, ni dos dits: sa fosca ja era tan espessa, que
la porien tapar a espasades. Ja fepa una bona es-
tona que s'era abolida de tot sa clarura de Sa boca,
p es pex encara se'n'anava de d'allà, ben acanalat,
A la fí s'atura, p diu: 3
—Paupa a man dreta.
",NA
99,"100 RONDAYES MALLORQUINES

En jJuanet paupà.

—i Trobes tort

— Sí que'n trob.

—Idò puje-hi, p jalerta a moure't d'aquí, fins
altra ordel

En Juanet va creure, p sentí's pex que se'n
tornava es més descansat del mon.

Es renou que fepa amb ses coetjades p ver-
ducades va anar morint morint, fins que se morí
de tot, p aquell atlotó va romandre tot solet, de-
munt aquella seca, dins aquella fosca corgeladora,
sense sentir res, sense veure res, com si es Sol,
sa lluna p els estels se fossen apagats, p el mon
hagués fet tot up, fora ell p sa seca que'l sostenia.
No gosava moure-se, de por de caure dins s'apgo,
y vepa qu'es cridar era ben demés.

Des cap d'una bona estona, com li va haver
passat una mica es retgiró, va notar que sentia
alens, però tan petits P tan Suaus, que per sen-
tir-los havien d'escoltar de tot.

No pogué distingir si eren de persones o d'ani-
mal, p per més ganes que li venien d'acostars'hi
o de eridar, per Sebre qui era aquell qui dormia
tan descansat, se'n guardú com de caure, per por
de sa por.

Y passú un dia 9 un altre dia, Y una setmana
p un'altra setmana, p un més Ç un altre més, p
en Juanet sempre demunt aquella seca, no sentint
res pus qu'aquells alens, no veent res pus que
",NA
100,"da ara Pia ler as da da da a: a ta i ll
ES FIV DES PESCADOR 101 l
aquella fosca, tan negra, tan espessa, tan corge- Ei
ladora. NS
Y lo bo era que, en tenir talent, allargava / 3
mà, P un Cop trobava un plat d'arròs, un cop un // i
ou estrellat, un cop un botifarró o un tros de so- / l
brassada, p fins Y tot a voltes trobava qualque ta- / / È
labant de porcella rostida, amb una conna ben gru- xi / L
xada, brévola p cruxent, P, en tenir set, no fega
més qu'allargar sa mé, p Zas/ trobava ara un /
tassó d'apgo com un gel, p suara un tassó.de ví, l :
d'aquell que diu: aquí som jo. l / i
—Sobre tot, (depa en Juanet) ja hu vorem en Ú j 3
Gelat aont s'ajeurà. Es ver qu'estich tot sol, p
que'ts ups ets-e poria posar amb apgo-sal, per lo oa
que m'en servesch, però menj p bech com es pri- GE En :
mer senpor, y lo que no es a un cap, es a s'altre: Ella:
y molt pitjor poria estar, Ç no voldria haver de GE J
mantenir tots es qui hi estén. a)
Com va fer mitx anp que's trobava d'aquella 3
manera, assetsuaxí sent una veu que diu, tota re- 3
molesta:
—i Que dus pedra foguera p esca2 CE
-—Ni pedra foguera ni esca (respòn ell). Jo no
som fumador.
Aquella veu no va respondre, Ç s'allot torna :
romandre com abans, Sentint aquells alens, que ni :
crexien ni mancabaven ni's descompassaven per
res map. ,
Passaren dies p més dies, setmanes p més set-
T. He—7e
",NA
101,"102 RONDAYES MALLORQUINES
manes, passaren mesos, passéú mitx any, p asset-
suaxí En Juanet sent aquella metexa veu, que li
diu, tota remolesta:

—i Que t'agradaria anar a veure ton pare p ta
mareP

—Lo que m'agradaria més del mon, (respòn
ell).

—Idò (li diuen) si promets de tornar dins sèt
dies allà hon te dex es qui ara vendrà, te'n hi ani-
rés.

—BE-hu promet, p si voleu que hu jur... (diu
ell).

—No importa (li responen).

Aviat sentí s'apgo que's movia, Y jbones bras-
setjadesi d'un qui s'entregava nadant ben afuat. Al
punt el se va tenir just devora, p sentí que li depa:

—Axanque't demunt mí com s'altra vegada, p
aterre't fort.

Aquí va conèxer qu'era aquell pex. S'hi axan-.
ca, s'aferra, P es pex ja es partit, just un coet.

Aviat apuntó sa clarura de sa boca de sa còva,
va créxer va créxer, tornú clara de tot, la passa-
ren, prengueren per dins la mar gran, p de d'allàl
Era devers mitx dia.

""JO que hi estava de content En Juanet com
vepa sa claror del Sol, tan viva, tant xalesta, tan
saborosa: com veya la mar tan plana, tan ajogas-
sada p etxerevida, com veya sa blavor del cel, tan

—— nova, tan fonda, tan neta, tan rioleral jja hi xalava
aquell cossetl jja n'hi passava de gustl
",NA
102,"ES FIY DES PESCADOR 103 s
Però encara s'alegria p sa gaubansa li reven-
gueren, tot d'una que colombré, dins sa bopra de Ó
s'entrelluu, sa Dragonera, p es putx de Galatzó,
p Es Major, p ets altres que los acompanpen, P ses di
costes d'Andratx, Y sa metexa vila. ds
Aviat foren bax d'aquella pesquera aont s'era
embarcat s'altre pich.
—iHala, espedexi (diu es pex): dins sèt dies
aquí t'esper.
—No tengues ansi, (diu En Juanet), dins sèt
dies seré aquí. l
Pega bot, toca a penyes, Y per amunt, cap a :
ca-seual
Amb quatre llongos e-hi va esser: Vno vos
dich res, son pare p sa mare, com el veren, lo que
varen fer: s'aferraren per ell, plorant d'alegria
com a nins petits, p el se cupdaren a menjar de be-
sades, p acudiren es vepnats, P tothom aferrat p'En
Juanet, p crits P renou, P tot es carrer alt.
S'atlot va contar tot lo que li havia succeit p
que dins sèt dies se'n havia de tornar,
Ningú s'en poria avenir, P dins Andratx no's
parlava d'altra cosa.
Sa mosca que més picava sa mare, era que li
haguessen demanat si dupa pedra foguera p esca:
p depça:
—èQui sabP Per ventura era aquell d'ets alens d
que le hi demanava per fer foch p veure-hi qual-
que mica. Sobre tot, 49 quin mal e-hi pot haver de
",NA
103,"rei des de a Li SL dd ES dl HS aa dd a ES do Ll
104 RONDAYES MALLORQUINES :
dur pedra foguera p esca2 Cap, jo lo que faré serà
posarn'hi, d'amagat, dins una butxaca: p llavò li
posaré un bon grapat d'estopa, una candela ç un
- — trinxetó, per lo que puga esser.

Ja hu crech que le hi posú tot axò dins Sa but-
Xaca, p ben d'amagat.

En Juanet no's va tèmer de res: des cap des
sèt dies se despedí de son pare p sa mare p de tot-
hom. Se'n va a n-aquella pesquera, e-hi hagué's
pex que l'esperava, s'hi axanca demunt, p S'ani-
malot per endins p per endinsl

Al punt destriaren es penyals de sa muntanyo-
ta, e-hi arriben, s'enfonpen dins aquell metex co-
val, p hala per endins p per endinsi

Es pex el torna dexar demunt aquella seca, p
gira en coa. Sa ramor de ses seues coetjades anó
morint morint, fins que's morí de tot, y En Juanet
romangué de bell nou dins aquella fosca tan es-
pessa, sense sentir res pus qu'aquells alens de s'al-
tra vegada, qu'eren justifet justifet.

Y li succeia io metex: en tenir talent, allarga-
va sa mú, p venga un bon plat d'arròs o un ou es-
trellat o un botifarró o un tros de sobrassada, p
qualque pich una bona Ílenca de porcella rostida,
ensú p enllú qualque tassonet de ví, d'aquell qui fa
fer cansons a la vela, per poch que hi bovetjen.

Y tornaren passar setmanes Ç altres setmanes,
y mesos p altres mesos, sempre a les fosques,
sempre sentint aquells.alens.
",NA
104,"ES FIY DES PESCADOR 105
En Juanet ja'n comensava a tenir mal de ven-
tre de bon de veres.
I — gPerò qui diantre pot esser qu'alena tan se- he
guit p tan fi2 (depa ell). (Si la tenia tan avall com
jo sa sòn, no dormiria tan arreul
Un dia, estirantse's jaquet, notúó que duya una
butxaca plena: paupa, petoca blan p rostit, Afica I
sa mé, Y troba estopa p un trinxetó V un canonet
de canya amb un tap P llavò una llenca de pedra
p una cosa prima V llarga, que va esser una can-
dela.
—è Y qui m'ha posat axò aquí dins2 (diu ell,
paupantho). jSabs qu'axò havia d'esser un cano-
net d'esca p axò una pedra fogueral
S'ho treu tot, destapa's canonet, p fonch ple
d'esca.
—jBon re-caspitel'lol (s'esclama ell). 4 Vol dir
tenim per encendre2 jSí que'm diu bél jJa he de
veure jo que hi ha per aquí dinsl
Posa esca demunt s'estopa, pega unes quantes —
de fregades a sa pedra foguera amb s'esquena des
trinxetó, brollen espires, pren s'esca, fa llamada
s'estopa, encén sa candela, mira entorn seu, Ç.... l
veu, quatre passes lluny, una fadrineta asseguda a
una cadira de repòs, suaument tombada demunt sa Ma
respal/lera, dormint com un pex dins l'apgo
S'hi acosta per veurela de prop: era més ga-
rrida qu'el sol, anava tota endiumenjada, no devia
tenir setze ans.
",NA
105,"106 RONDAVES MALLORQUINES $
pja la s'hi mirava arreu En Juanetl Estava tot
embadalit, tot empantanat, no sabia de quin mon
era... Res havia vist map que li agradós tant, que
li donés tant de pler.

Se'n hauria aconhortat de no fer altra cosa
map, més que contemplar aquella hermosura.

Com més embabapat e-hi estava, cop en sech
comparex es gigant, lent uns crits com a trons
del cel. Parexia qu'aquella cova s'havia d'abisar.

—jAh, gran polissól depa ell: jno la m'has feta
que no la m'haja pensadal... 4Y no digueres tu
que no dupes pedra foguera P esca2... çAXi'm pa-
gues es favor que't vatx fer de dexarte anar a ca-
teuaP... 4 Vol dir t'agrada aquesta fadrineta2... ja ——
hu crechl... No tens mal gust per esser andritxol.
iDexa ler, que te'n he de mostrar de mirar al-lotes
d'apropl I

Sa fadrineta amb tans de crits se despertà
eczhalant un ap. Mirantse la feta, tota astorada,
clavú la vista demunt En Juanet, V rompé en plors.

En Juanet era quedat de pedra, es cabeps li
saltaven des cap, no pogué obrir boca. No sabia
aont s'havia de posar.

Es gigant l'embarriola per una orepa, el se
posa en es coll, pren un carreranpç qu'ell sabia, Q
per amunt p per amunt, fins que sortiren dalt sa
muntanpota.

Per molt qu'escampassen la vista, d'allà dalt
no més vepen per un vent la mar Ç pe' s'altre mun-
tanpes p més muntanpes.
",NA
106,"ES FIY DES PESCADOR 107
Es gigant e-hi pren per demunt, p feya unes
passes tan grosses, que no posava es peus dins es
comellars ni fondals ni en es costers, sino que com
llevava un peu d'una cucupa, posava s'altre de-
munt un'altra cucupa... l
Figurauvos si'n devia fer de camí.
Com e-hi hagué una partida d'hores que cami-
nava, arriba a un pinar, tria es pi més alt, e-hi de-
xa En Juanet demunt, p s'en torna. Aquell pi, d'alt
qu'era, el vepen de set hores llunp, Ç tenia una i
rama com un rollo d'era.
En Juanet allà dalt, per bé qu'allargús sa mé,
no trobava plats d'arròs, ni botitarrons, ni trossos
de sobrassada, ni talabants de porcella rostida, ni
tassons de ví, Y aviat va veure que no li convenia
gota aquella rama. i
Es pi tenia una soca llisa com un fus, P, per
devallarhi aferrat, s'havia de fer benes Sa roba p
sa pell des brassos, panxa, cuxes p cames. Y 4que
fa ellP Se posa a rompre brancons p brancons de pí,
comensa a cordarlos tan bé com sabia, V. venguen H
- brasses p més brasses de corda. Com en tengué
que va creure que li bastava, fermú a una branca,
s'amolla per aqiiella corda, P per avall fins abax.
—Ara lo que'm convé (diu ell) es cercar per -
omplirme's gavatx, que tench ansi de durio tan
ruat, que ja no's vulga desruar.
Tresca qui tresca, no trobava més que munta-
nya p garriga p muntanya p garriga, sense cap l
",NA
107,"108 RONDAYES MALLORQUINES
abre ni planta amb jens de frupta que fos bona de
menjar.

Sént rall dins un remolí d'upastres, s'hi acos-
ta, y me troba un lleó, un ca llebrer, un falcó p
una formiga, que tenien un'euvepa morta, P se ga-
tinpaven a les totes, p ja's depen es nom des
porch.

Per por de no esserhi demés, e-hu donà a ses
cames, però aquells l'havien reparat, p se posaren
a eridarlo:

— jGermàl pgermàl

—jAra estich perdutl (diu ell) m'han afinat, 9
encara seré jo que pagaré la festa.

— Se'n hi va, més retgirat qu'un poll, p ells tot
d'una li diuen:

—Germú, vos hem cridat per que, pagant p
agraint, mos fasseu un favor.

o —Digau quin (s'esclama ell, cobrant coratge).
—ldò veps (diuen ells): tenim aquesta euvepa, P
la mos hem de partir, p fa una bona estona que mos
hi pegam, Y per cap vent del mon mos porem ave-
nir, perque es tros qu'un vol, s'altre també'l vol. Y
vos hem cridat per que vos amb tota concienci
lasseu ses parts, p digueu quina ha de tenir cada
qual, p lo que vos fareu, desd'ara tots e-hu donam-
per ben fet.

En Juanet e-hi pensà un poch: se mirava s'eu-
vepa, los se mirava a ells, Y a la fi diu:

—Vetaquí com trob que la vos heu de partir:
",NA
108,"ES FIY DES PESCADOR 109
es lleó que prenga ses popes, qu'es lo més sabo-
rós, ell qu'es el rep de tots ets animals, es ca lle-
brer que prenga'ts ossos, ell que. n'es tan afectat,
es falcó que prenga sa mòca, p la porà roegar bé,
ell que no té dents, sa formiga que prenga's cap,
p, en haverlo desnossat, s'hi porà mudar, p tendrà F
una casa de primera.
—I3Sí que la mos heu partida bél (esclamen
tots quatre). iVaja per fetl ivaja per fetl Vos me-
tex fepsmos es quatre bocins.
En Juanet agala s'euvepa, amb so trinxet, axí
com pogué, li tapa's cap, li treu sa mòca, des:se-
para Sa popa d'ets ossos, p aquells varen prendre
cadascú lo seu, es més satisfets del mon.
A les hores es lleó s'arrabassa una serra de sa dl
pitera, p li diu: As
— Jau aquesta serra. En dir: eval Deu p lleóo, pi
tornareu un lleó. /
Es ca llebrer se tapa una ungla d'un peu, Ç li i
diu:
— Jau aquesta ungla. En dir: cval Deu p ca lle-
brero, tornareu un ca llebrer.
Es falcó s'arrabassa sa ploma més llarga de
ses ales, p li diu:
— Jau aquesta ploma. En dir: eval Deu p fal-
CÓ2, tornareu un falcó.
Sa formiga s'escapsa una banpeta, Y li diu: :
— Jau aquest capet de banya. En dir: cval Deu
p formiga2, tornareu una formiga.
",NA
109,"110 RONDAYES MALLORQUINES

—Escoltau (diu En Juanet) çp en tornar lo que
Voltros sou, que hu he d'esser per a sempre2.—

—Es temps que voldreu vos (contestaren tots
quatre). En no voler serho pus, no heu de fer més
que dir: eval Deu p homo2, P tornareu homo, com
Si res fos estat.

—3IBé me va, idòl (s'esclamé'n Juanet). Deu
vos ho pach, P si m'heu de menester pus, digauho,

—No, germanet, poreu fer sa vostra vía.

—lIdò ja reveure p amb Deu siaul

— Lo metex vos depm noltros (respongueren
tots quatre).

Y ells dassa dassa's tros d'euvepa que'ls havia
tocat, pç En Juanet de d'allà, més content qu'un
Pasco, com se vepa amb aquells quatre dons tan
bufarells.

—jCom es vel-la revenjolil que si no'n fas mol-
ta de carrera (depa ell), me puch tapar es nasl...
iSabs si ara el trobava a n-es gigant, quin copeo
li faria ballarl... Però'm convé més, ara per ara,
posar unes quantes miques dins es gavatx.

Camina caminaràs, mentres depa axò, s'alsa

l de devora's seus peus una llebre, ell diu tot d'una:

—jVal Deu p ca llebrerl

A l'actetorna un ca llebrer,p /nvip nyepl derre-
ra ella. Al punt la té, l'escorxa, fa foch, la torra,
p per endins, p ben bona que va esser.

ja no patí fam pus, perque, en veure cassa,
tornava falcó o ca llebrer, l'aglapia, Ç aviat havia
fet es val Deu.
",NA
110,"ES FIY DES PESCADOR I11
éTrobava cap animal ferósP2 sçcap companpia
de lladresP Si no estava per una berba, depa, cqval
Deu p formiga2l, p tornava una formiga, p no'l
vepen lluir pus. Ara si duya sa mosca, e-hi volía
un arrap. Depa: ejval Deu p lleóls p tornava lleó.
Y ipobre animal ferósl jpobre companpia de lla-
dresl Los pegava llongo, los embotonava, 9 aviat I
eren tots benes.
Camina caminarús, passava terres P terres,
sempre en popa, sense que nigú el fés voltar ni
tòrcer es grux d'un'ungia.
Un dia, destria un castell, dalt un turó molt so-
berch, s'hi acosta per veure'l d'aprop, ç fonch l
un castell que fepa teredat, redonench, amb unes i
murades disforjes, amb una mala fi de torres vol-
tant voltant, ben rabassudes p ben altes, totes
guatnides de barbacanes, matacans p setjeties.
En Juanet les se mirava d'en una en una, mitx
astorat. Com se mirava sa derrera, guapta a una
finestra una fadrineta com un sol. i
En Juanet casi va caure d'esquena, tant de nou
li vengué aquella hermosura.
Ja hu crech que li clavú la vista, que parexia
que l'havia de travessar.
—IO Deul (digué): ip axò es aquella metexa
fadrineta de sa còval... iVaja si hu esl.s. qjustifetl
pustifetl... jAXÒ sí qu'es bo pÇ no embafal... No
res, ja la vup veure més d'aprop...
—ijVal Deu p faleól (va dir), p a l'acte torna
un falcó.
",NA
